Zone Type,Occupancy,Temperature,Humidity,Weekend,Day/Night,HVAC Status,Fan Status,Lighting Status,Energy Consumption
Office,84,34.52,68.41,No,Night,OFF,ON,ON,58.04
Office,70,27.41,79.24,No,Day,ON,OFF,ON,63.53
Floor,68,22.99,61.28,Yes,Night,ON,OFF,ON,66.42
Meeting Hall,31,33.48,32.67,No,Day,ON,OFF,OFF,55.96
Office,79,28.38,41.06,No,Day,OFF,ON,OFF,52.02
Corridor,39,21.62,42.98,No,Night,OFF,OFF,OFF,20.9
Office,61,34.14,61.72,No,Night,OFF,ON,ON,52.75
Corridor,89,22.64,30.92,Yes,Day,ON,ON,OFF,53.58
Floor,26,33.27,55.33,No,Day,OFF,ON,ON,61.88
Office,38,28.45,79.79,No,Day,OFF,OFF,ON,44.24
Meeting Hall,91,26.55,68.43,Yes,Day,OFF,ON,ON,56.63
Office,32,23.65,68.47,Yes,Day,ON,OFF,ON,47.85
Office,65,20.02,67.27,Yes,Night,OFF,ON,ON,42.36
Office,78,22.16,64.17,No,Day,ON,ON,OFF,57.39
Floor,70,23.63,44.92,No,Day,ON,OFF,ON,75.88
Meeting Hall,83,22.91,69.15,No,Day,ON,ON,OFF,63.86
Office,12,19.25,62.29,No,Day,ON,OFF,ON,46.3
Meeting Hall,95,27.86,41.45,No,Day,ON,ON,ON,77.07
Floor,28,26.08,78.95,Yes,Day,ON,OFF,ON,66.41
Corridor,67,19.81,79.23,No,Night,OFF,OFF,OFF,36.12
Office,82,25.89,48.7,No,Day,ON,ON,ON,66.45
Meeting Hall,9,19.34,67.66,No,Night,OFF,ON,ON,38.7
Meeting Hall,99,33.84,64.07,No,Day,ON,OFF,ON,76.11
Floor,75,22.4,59.2,No,Night,OFF,OFF,OFF,54.3
Office,57,30.32,39.04,No,Night,OFF,ON,ON,50.88
Corridor,85,22.27,53.39,No,Night,ON,OFF,ON,50.51
Meeting Hall,26,26.07,66.5,No,Night,OFF,OFF,OFF,35.03
Office,98,33.87,79.42,Yes,Day,ON,ON,ON,71.67
Corridor,57,32.82,60.68,No,Night,ON,ON,ON,56.04
Meeting Hall,80,31.24,67.61,No,Night,ON,OFF,OFF,57.36
Meeting Hall,69,31.43,75.69,Yes,Day,ON,OFF,OFF,68.79
Corridor,44,32.0,60.69,Yes,Day,ON,OFF,ON,47.99
Corridor,49,30.62,68.23,Yes,Day,ON,ON,OFF,46.05
Floor,47,33.25,52.9,No,Day,OFF,OFF,OFF,54.24
Office,42,23.95,44.59,No,Day,ON,OFF,ON,53.52
Office,13,26.94,54.65,No,Day,ON,ON,OFF,48.33
Floor,96,28.99,34.45,No,Day,OFF,OFF,OFF,62.22
Meeting Hall,43,21.36,76.5,No,Night,ON,OFF,OFF,53.92
Corridor,27,26.56,45.52,No,Day,OFF,ON,ON,41.42
Corridor,60,20.11,53.05,Yes,Night,ON,OFF,OFF,28.29
Corridor,37,28.4,62.67,No,Day,ON,OFF,ON,52.23
Meeting Hall,70,19.66,55.22,No,Day,ON,ON,OFF,65.32
Corridor,74,26.56,44.14,Yes,Day,OFF,OFF,ON,38.77
Corridor,32,25.85,79.21,No,Day,ON,OFF,ON,53.78
Floor,66,19.9,72.41,No,Day,ON,ON,OFF,69.04
Meeting Hall,21,25.47,35.14,Yes,Day,OFF,ON,ON,48.41
Office,12,29.52,48.37,Yes,Day,OFF,ON,ON,44.09
Floor,92,28.11,39.71,Yes,Day,ON,ON,ON,84.79
Floor,5,25.79,53.93,No,Day,OFF,OFF,OFF,41.73
Office,63,24.2,40.44,No,Day,ON,ON,ON,66.26
Floor,53,18.98,45.61,No,Day,ON,OFF,ON,71.49
Meeting Hall,42,34.25,56.04,Yes,Day,ON,OFF,ON,58.51
Corridor,54,24.85,37.2,No,Day,ON,ON,ON,51.59
Meeting Hall,27,25.08,73.05,No,Day,ON,ON,ON,61.38
Office,57,20.18,48.13,Yes,Day,ON,ON,ON,61.5
Office,14,27.06,75.71,No,Day,ON,ON,ON,56.08
Floor,23,34.65,31.5,No,Day,ON,ON,OFF,64.94
Meeting Hall,89,22.3,68.59,No,Day,ON,ON,OFF,68.9
Meeting Hall,61,23.33,73.25,Yes,Day,OFF,ON,ON,60.1
Office,64,22.02,79.23,Yes,Day,OFF,ON,ON,48.82
Meeting Hall,25,32.73,36.59,No,Day,ON,OFF,OFF,53.26
Office,94,26.08,51.69,No,Night,OFF,ON,OFF,45.75
Meeting Hall,60,32.0,68.02,No,Night,ON,ON,ON,62.94
Meeting Hall,86,32.45,55.68,No,Day,ON,OFF,ON,72.08
Meeting Hall,95,30.73,71.04,No,Night,ON,ON,OFF,65.72
Office,0,22.44,79.2,No,Day,ON,ON,ON,50.53
Floor,81,18.6,67.83,No,Day,OFF,OFF,OFF,57.27
Meeting Hall,80,20.44,67.11,No,Night,OFF,ON,ON,51.04
Office,45,29.85,58.39,No,Night,ON,ON,ON,55.6
Office,91,30.59,53.16,No,Day,ON,ON,ON,71.25
Meeting Hall,0,31.03,71.75,No,Day,ON,ON,OFF,49.83
Meeting Hall,50,22.15,41.64,No,Day,ON,ON,ON,61.15
Floor,35,20.6,73.07,No,Day,OFF,OFF,ON,57.04
Office,68,33.69,71.87,Yes,Day,ON,ON,ON,69.97
Office,68,29.29,66.86,No,Day,ON,ON,OFF,56.85
Corridor,65,30.61,64.79,No,Night,OFF,OFF,OFF,29.35
Office,74,19.6,30.4,No,Day,ON,OFF,ON,57.15
Floor,98,25.01,79.52,No,Night,OFF,OFF,OFF,65.04
Corridor,29,19.08,49.6,No,Day,ON,ON,ON,47.27
Corridor,95,29.18,48.99,No,Day,ON,ON,ON,67.51
Corridor,7,26.32,79.42,No,Day,ON,ON,ON,54.1
Meeting Hall,1,25.67,42.09,Yes,Day,ON,OFF,OFF,49.6
Meeting Hall,99,33.35,77.66,No,Day,OFF,OFF,ON,62.24
Office,24,30.58,49.26,No,Day,ON,ON,ON,57.5
Corridor,18,34.39,34.91,No,Day,OFF,ON,ON,45.93
Floor,70,18.79,56.15,No,Day,ON,ON,ON,72.56
Meeting Hall,13,28.47,65.31,Yes,Day,OFF,ON,OFF,44.19
Floor,3,28.71,60.45,No,Day,OFF,OFF,ON,60.33
Floor,45,18.45,77.61,No,Day,ON,ON,ON,73.04
Meeting Hall,32,31.38,49.19,No,Day,ON,ON,ON,66.92
Meeting Hall,36,20.61,52.1,No,Day,OFF,OFF,ON,43.45
Meeting Hall,29,29.92,42.3,No,Night,ON,ON,ON,54.07
Meeting Hall,83,18.64,58.89,Yes,Day,OFF,ON,ON,59.56
Corridor,77,28.43,76.98,Yes,Day,ON,ON,ON,65.5
Corridor,26,26.85,47.28,No,Day,OFF,ON,ON,42.55
Corridor,12,26.22,35.75,No,Day,ON,ON,ON,44.87
Corridor,70,24.23,48.31,No,Day,OFF,ON,ON,51.12
Office,81,25.14,74.16,No,Day,ON,ON,OFF,63.56
Corridor,37,26.11,75.01,No,Night,OFF,ON,ON,36.33
Meeting Hall,51,23.06,36.1,No,Day,ON,ON,OFF,55.06
Floor,72,33.9,68.23,No,Day,ON,OFF,OFF,75.55
Corridor,86,34.41,37.08,No,Day,OFF,ON,ON,56.8
Office,94,23.1,74.22,Yes,Day,OFF,ON,OFF,50.18
Meeting Hall,65,31.24,53.76,No,Day,OFF,ON,OFF,57.97
Floor,39,30.78,74.94,No,Night,ON,ON,OFF,67.28
Floor,37,32.88,33.72,Yes,Night,ON,ON,OFF,59.92
Corridor,40,18.07,33.82,No,Night,ON,OFF,ON,36.62
Floor,4,23.75,76.77,No,Day,OFF,ON,ON,56.76
Corridor,63,20.46,68.62,No,Night,ON,OFF,ON,46.12
Corridor,55,24.64,37.28,No,Day,ON,ON,ON,56.77
Meeting Hall,86,27.79,74.52,No,Night,OFF,OFF,ON,60.86
Meeting Hall,48,33.45,72.69,No,Night,ON,OFF,OFF,53.88
Office,58,32.27,56.89,No,Day,OFF,ON,ON,54.33
Meeting Hall,95,26.48,38.25,No,Day,ON,ON,ON,75.28
Meeting Hall,38,18.4,51.12,No,Day,OFF,ON,ON,48.13
Corridor,79,23.12,57.51,No,Night,OFF,OFF,ON,39.58
Meeting Hall,54,19.81,40.48,Yes,Day,OFF,ON,ON,48.06
Corridor,74,29.06,72.92,No,Night,ON,OFF,OFF,47.3
Corridor,77,29.82,71.68,No,Day,OFF,OFF,OFF,45.13
Meeting Hall,63,29.03,31.17,No,Day,ON,ON,ON,62.77
Office,2,22.67,30.98,No,Day,OFF,ON,ON,40.92
Office,7,33.63,51.84,No,Night,ON,ON,OFF,45.46
Floor,78,28.0,76.21,No,Day,ON,OFF,OFF,71.46
Floor,72,28.15,68.41,Yes,Day,OFF,ON,OFF,62.83
Meeting Hall,15,31.86,77.92,No,Day,ON,ON,ON,64.16
Office,25,19.18,44.2,Yes,Day,OFF,ON,ON,41.18
Corridor,31,21.56,78.41,No,Day,ON,ON,ON,56.67
Floor,81,28.02,56.58,No,Day,OFF,ON,ON,81.11
Corridor,7,28.38,60.55,No,Night,OFF,OFF,OFF,22.3
Floor,59,25.94,41.45,No,Night,ON,OFF,OFF,57.81
Meeting Hall,95,31.26,53.07,No,Day,ON,OFF,OFF,71.18
Office,73,23.88,67.81,Yes,Night,OFF,OFF,ON,35.97
Floor,11,18.19,47.55,No,Night,ON,OFF,OFF,49.21
Office,75,23.78,33.48,No,Day,ON,ON,ON,66.73
Corridor,58,34.42,71.89,No,Day,ON,OFF,ON,63.54
Meeting Hall,58,31.24,31.67,No,Day,ON,ON,OFF,60.71
Office,73,23.41,34.81,No,Day,ON,ON,ON,62.23
Meeting Hall,33,21.78,61.86,No,Day,ON,ON,OFF,57.46
Office,29,31.77,63.43,Yes,Night,ON,ON,ON,51.44
Corridor,43,21.4,57.49,No,Night,ON,ON,OFF,39.16
Corridor,94,27.86,33.89,No,Day,ON,ON,ON,64.92
Meeting Hall,37,26.64,68.84,Yes,Day,ON,OFF,OFF,49.94
Corridor,24,25.19,59.91,No,Day,ON,ON,OFF,48.06
Floor,23,25.24,63.52,No,Night,OFF,ON,OFF,46.64
Office,96,29.94,30.15,No,Day,ON,OFF,ON,66.14
Corridor,60,19.75,34.39,No,Day,OFF,ON,ON,47.68
Floor,8,24.72,66.05,No,Day,OFF,ON,OFF,55.26
Meeting Hall,88,34.46,63.89,Yes,Day,ON,OFF,OFF,62.3
Floor,83,31.23,39.92,Yes,Day,ON,ON,ON,79.34
Meeting Hall,47,18.36,55.24,No,Night,ON,ON,ON,62.4
Meeting Hall,80,25.6,45.62,Yes,Day,OFF,ON,ON,61.35
Office,51,19.99,61.25,No,Night,ON,ON,ON,48.85
Office,69,26.24,69.87,No,Day,OFF,ON,ON,52.05
Floor,63,19.76,39.4,No,Day,OFF,ON,ON,62.66
Office,35,24.62,62.47,No,Day,ON,ON,OFF,47.85
Office,19,27.26,51.72,No,Night,ON,ON,ON,47.75
Office,89,24.24,39.64,No,Night,ON,OFF,OFF,44.99
Floor,49,27.84,49.83,No,Day,ON,ON,OFF,69.81
Corridor,11,34.75,35.21,No,Night,ON,OFF,OFF,37.14
Office,6,22.18,62.88,No,Day,OFF,ON,ON,35.03
Office,39,27.6,79.91,Yes,Day,OFF,OFF,ON,38.96
Floor,93,26.01,66.66,No,Day,ON,ON,ON,92.34
Corridor,85,31.76,72.6,No,Night,ON,ON,OFF,56.85
Office,41,23.35,41.29,No,Day,ON,ON,ON,58.39
Meeting Hall,92,28.85,35.31,No,Day,ON,OFF,ON,71.08
Floor,85,29.78,30.11,No,Day,OFF,ON,ON,73.48
Office,87,34.59,66.48,No,Day,ON,ON,ON,76.24
Office,66,20.57,71.16,Yes,Day,OFF,ON,OFF,38.65
Meeting Hall,49,34.97,39.45,No,Day,OFF,ON,ON,58.73
Meeting Hall,40,30.26,53.91,No,Day,ON,OFF,OFF,57.34
Floor,23,25.76,59.25,No,Night,ON,OFF,ON,56.96
Floor,89,22.48,77.91,No,Day,ON,ON,OFF,74.28
Meeting Hall,68,28.69,75.7,Yes,Day,ON,ON,ON,77.14
Floor,12,20.41,30.79,Yes,Day,ON,ON,OFF,57.1
Meeting Hall,100,34.1,32.46,No,Day,OFF,OFF,ON,66.85
Office,85,21.14,77.95,Yes,Night,ON,ON,OFF,51.22
Meeting Hall,33,31.16,32.9,Yes,Day,OFF,ON,ON,47.07
Meeting Hall,2,23.87,59.1,No,Night,OFF,ON,ON,41.43
Corridor,95,21.67,33.96,No,Night,OFF,ON,ON,43.45
Meeting Hall,87,31.75,63.34,No,Night,ON,OFF,ON,68.61
Meeting Hall,72,33.09,39.21,No,Day,OFF,ON,ON,61.72
Corridor,2,18.1,31.71,Yes,Day,OFF,OFF,ON,26.43
Floor,85,34.56,43.94,No,Day,ON,ON,ON,88.0
Corridor,23,25.17,56.57,No,Night,OFF,OFF,ON,30.76
Office,73,19.63,56.75,No,Day,OFF,ON,ON,52.08
Corridor,34,25.71,68.18,No,Day,ON,OFF,ON,54.16
Office,19,20.02,33.02,No,Day,OFF,ON,ON,41.15
Floor,43,22.4,30.41,No,Day,ON,OFF,ON,68.19
Corridor,75,27.48,65.71,Yes,Night,ON,OFF,ON,48.75
Corridor,47,24.11,77.71,Yes,Day,ON,ON,ON,49.53
Floor,42,21.87,39.64,No,Day,ON,ON,ON,75.29
Office,75,21.34,37.5,Yes,Day,ON,OFF,ON,55.81
Corridor,80,28.82,47.15,No,Day,ON,ON,OFF,56.87
Office,67,33.46,65.11,No,Night,OFF,OFF,OFF,41.06
Corridor,71,18.96,68.09,Yes,Night,ON,ON,OFF,42.24
Meeting Hall,70,22.15,76.83,No,Day,ON,ON,ON,66.12
Corridor,54,29.31,70.1,Yes,Day,ON,ON,ON,59.07
Floor,81,34.78,31.39,No,Day,ON,ON,ON,90.68
Floor,25,29.58,40.32,No,Night,ON,ON,ON,66.65
Office,30,18.89,47.78,No,Night,ON,ON,ON,41.91
Corridor,53,21.04,77.35,No,Night,ON,OFF,ON,42.09
Office,55,23.91,60.28,Yes,Day,ON,OFF,ON,50.71
Office,55,20.68,79.82,No,Night,ON,ON,OFF,51.17
Meeting Hall,52,21.1,45.88,No,Night,OFF,ON,OFF,45.64
Meeting Hall,71,22.65,76.07,No,Day,ON,OFF,ON,62.34
Floor,60,24.34,64.93,No,Day,OFF,ON,ON,66.8
Office,33,24.66,74.35,No,Night,ON,OFF,ON,44.98
Floor,45,26.49,76.13,No,Day,ON,ON,ON,74.9
Corridor,79,33.78,52.65,No,Day,ON,OFF,ON,57.25
Office,83,34.89,73.6,Yes,Day,OFF,ON,ON,58.69
Office,73,18.34,79.16,No,Day,ON,OFF,ON,56.1
Corridor,49,26.39,63.36,No,Day,OFF,ON,OFF,41.08
Corridor,68,30.79,42.95,No,Day,ON,ON,ON,63.52
Floor,10,19.25,43.47,Yes,Night,ON,ON,OFF,48.76
Floor,85,34.0,67.62,No,Night,OFF,ON,OFF,58.59
Corridor,74,33.94,46.43,Yes,Night,ON,ON,ON,50.9
Floor,17,21.54,50.55,No,Day,ON,OFF,OFF,57.66
Corridor,81,31.36,56.33,No,Day,ON,ON,ON,65.95
Office,30,27.88,75.58,No,Day,ON,ON,ON,55.26
Office,83,18.58,65.57,No,Day,ON,ON,ON,62.97
Meeting Hall,61,23.05,44.55,Yes,Day,ON,OFF,ON,60.66
Office,22,22.48,36.68,Yes,Night,ON,OFF,ON,38.85
Corridor,52,32.96,44.49,No,Day,ON,OFF,ON,53.63
Floor,61,33.26,46.68,Yes,Day,ON,OFF,ON,72.63
Meeting Hall,73,18.59,66.63,No,Day,OFF,OFF,ON,53.46
Floor,16,30.6,51.26,Yes,Day,ON,OFF,OFF,62.48
Corridor,40,20.04,79.9,No,Night,OFF,ON,ON,33.81
Office,7,31.45,31.72,No,Night,OFF,ON,ON,34.73
Meeting Hall,30,32.38,47.71,No,Day,ON,ON,OFF,59.75
Corridor,48,19.01,34.3,No,Day,ON,OFF,ON,48.28
Meeting Hall,56,23.55,47.84,No,Day,ON,ON,OFF,58.05
Meeting Hall,47,24.45,51.69,No,Night,ON,ON,OFF,55.29
Office,52,34.24,74.56,No,Day,ON,OFF,OFF,56.59
Corridor,61,24.31,51.27,No,Day,OFF,ON,ON,54.34
Floor,89,22.35,31.28,No,Day,ON,OFF,ON,78.02
Meeting Hall,49,28.53,77.76,No,Day,ON,OFF,OFF,60.56
Meeting Hall,54,20.7,37.26,No,Day,ON,OFF,ON,57.62
Floor,8,28.63,68.69,Yes,Day,OFF,OFF,ON,51.2
Corridor,31,25.8,40.01,No,Day,ON,OFF,ON,51.08
Meeting Hall,86,30.43,76.17,No,Day,ON,OFF,OFF,68.78
Meeting Hall,95,27.84,41.33,Yes,Night,ON,ON,ON,68.56
Meeting Hall,56,21.0,72.76,Yes,Day,ON,OFF,ON,60.71
Corridor,99,33.94,50.73,No,Day,OFF,OFF,ON,59.57
Corridor,4,25.63,52.36,No,Night,OFF,ON,OFF,22.38
Floor,64,30.66,61.46,No,Night,OFF,ON,ON,64.86
Corridor,49,27.04,54.37,No,Day,ON,ON,ON,56.04
Corridor,94,32.71,46.84,No,Day,OFF,ON,ON,58.4
Office,62,23.73,42.13,No,Day,ON,ON,ON,54.92
Floor,94,28.86,43.31,Yes,Night,ON,OFF,ON,75.4
Meeting Hall,57,19.35,65.18,No,Night,ON,ON,ON,54.27
Corridor,56,19.32,35.44,Yes,Day,ON,ON,OFF,43.01
Meeting Hall,8,32.34,58.08,Yes,Day,ON,ON,OFF,51.77
Meeting Hall,96,31.91,48.98,Yes,Day,ON,ON,OFF,73.42
Office,98,24.11,47.66,No,Day,ON,ON,OFF,60.13
Corridor,25,29.49,65.77,Yes,Day,ON,ON,ON,48.32
Floor,62,32.09,55.16,Yes,Day,OFF,OFF,ON,65.9
Corridor,65,20.45,33.86,No,Day,OFF,OFF,OFF,35.34
Meeting Hall,33,34.74,75.48,No,Day,ON,OFF,OFF,55.8
Floor,80,33.06,74.9,No,Day,OFF,ON,OFF,68.22
Corridor,5,29.75,51.27,No,Day,OFF,OFF,OFF,33.28
Meeting Hall,100,27.23,30.69,No,Day,OFF,OFF,OFF,58.73
Meeting Hall,61,33.21,33.01,Yes,Day,ON,OFF,OFF,60.02
Office,94,30.57,54.58,Yes,Night,OFF,ON,OFF,47.44
Office,91,27.94,34.07,No,Day,ON,ON,ON,70.88
Office,84,33.16,52.16,Yes,Night,ON,ON,ON,59.83
Meeting Hall,74,21.58,39.49,No,Day,OFF,OFF,OFF,52.8
Corridor,40,22.15,70.12,Yes,Night,OFF,OFF,OFF,21.68
Office,53,33.81,48.38,No,Night,ON,ON,ON,59.93
Corridor,35,19.14,48.92,No,Day,OFF,ON,ON,37.41
Office,90,18.78,31.25,No,Day,ON,OFF,ON,61.56
Floor,83,31.46,62.69,No,Day,ON,OFF,ON,83.83
Floor,83,25.04,68.67,No,Night,ON,OFF,ON,70.65
Office,1,33.58,43.17,No,Day,OFF,OFF,ON,45.65
Meeting Hall,100,23.11,60.84,No,Day,OFF,ON,OFF,59.7
Office,26,22.88,62.34,No,Day,OFF,ON,ON,46.68
Office,17,34.27,61.48,Yes,Night,ON,OFF,ON,48.59
Meeting Hall,76,27.41,64.92,Yes,Day,ON,OFF,OFF,64.22
Floor,81,28.43,69.25,No,Day,ON,OFF,ON,82.52
Corridor,10,33.27,67.9,Yes,Day,ON,ON,ON,47.56
Office,77,24.47,58.7,No,Day,ON,ON,OFF,58.48
Meeting Hall,43,22.21,76.94,Yes,Day,ON,ON,OFF,51.69
Office,3,27.71,69.02,No,Day,ON,ON,ON,52.23
Meeting Hall,76,24.97,74.54,Yes,Night,OFF,ON,OFF,48.95
Corridor,82,20.78,55.39,No,Night,ON,OFF,OFF,45.61
Corridor,42,20.02,65.02,Yes,Night,OFF,OFF,OFF,19.14
Floor,38,30.33,73.15,Yes,Day,ON,ON,ON,77.81
Meeting Hall,58,18.58,56.99,Yes,Night,ON,ON,ON,54.56
Meeting Hall,24,26.97,73.7,No,Day,ON,OFF,OFF,52.99
Floor,78,23.6,66.26,Yes,Day,ON,ON,ON,76.38
Floor,83,20.57,67.69,No,Night,ON,OFF,ON,72.83
Meeting Hall,80,33.14,76.37,Yes,Night,ON,ON,ON,65.39
Floor,54,30.59,46.51,Yes,Day,OFF,ON,ON,66.19
Corridor,64,31.14,59.73,No,Night,OFF,ON,ON,48.95
Office,92,25.41,43.63,No,Night,ON,ON,ON,66.3
Corridor,82,29.02,56.46,No,Day,ON,ON,OFF,55.37
Floor,93,19.54,52.18,No,Day,OFF,OFF,ON,65.69
Meeting Hall,24,20.37,52.87,No,Night,OFF,OFF,ON,36.78
Meeting Hall,91,23.48,40.43,No,Day,ON,OFF,OFF,63.41
Corridor,36,25.78,61.28,No,Day,OFF,OFF,ON,40.83
Meeting Hall,74,19.59,69.78,No,Night,ON,ON,OFF,56.77
Floor,79,27.6,43.43,No,Day,ON,ON,ON,83.8
Corridor,81,22.08,36.2,No,Day,ON,OFF,ON,56.1
Meeting Hall,53,31.17,42.77,No,Day,ON,ON,ON,71.6
Office,72,18.01,67.76,Yes,Day,ON,OFF,OFF,49.86
Office,27,32.72,33.17,Yes,Night,ON,ON,ON,49.24
Floor,90,30.45,60.89,No,Day,OFF,OFF,OFF,66.66
Meeting Hall,51,27.28,70.99,No,Day,ON,OFF,ON,67.75
Floor,63,30.54,70.08,No,Night,ON,ON,ON,71.79
Corridor,37,24.2,79.38,Yes,Night,ON,ON,ON,42.7
Office,43,20.76,69.5,No,Day,ON,ON,OFF,49.99
Corridor,86,18.15,36.74,Yes,Night,ON,ON,ON,50.64
Meeting Hall,61,27.33,47.36,No,Day,OFF,OFF,ON,57.36
Floor,85,22.96,40.85,Yes,Day,OFF,ON,OFF,63.7
Floor,67,21.62,48.82,No,Day,ON,ON,ON,74.4
Floor,95,32.74,61.85,No,Day,ON,OFF,ON,90.24
Corridor,87,30.33,44.49,Yes,Day,OFF,OFF,ON,48.97
Office,37,34.83,36.44,No,Day,ON,ON,OFF,54.08
Corridor,49,29.25,65.71,No,Day,ON,OFF,ON,58.85
Corridor,60,33.22,35.86,Yes,Day,ON,ON,OFF,54.35
Meeting Hall,27,20.01,77.4,No,Day,OFF,OFF,ON,47.05
Meeting Hall,69,30.29,60.93,No,Day,ON,ON,ON,72.93
Meeting Hall,96,19.47,68.22,No,Day,OFF,OFF,OFF,53.24
Office,30,19.61,71.21,Yes,Day,ON,OFF,ON,47.03
Office,56,32.58,62.15,No,Day,ON,ON,ON,65.71
Meeting Hall,9,24.12,65.1,No,Day,OFF,ON,ON,44.99
Meeting Hall,11,23.38,69.52,No,Day,ON,ON,ON,58.43
Office,6,21.12,52.7,No,Day,ON,OFF,ON,47.55
Floor,87,26.24,30.14,No,Night,ON,OFF,ON,69.3
Office,27,21.46,78.35,Yes,Night,ON,OFF,ON,37.43
Office,74,27.14,42.14,Yes,Night,ON,OFF,OFF,46.39
Office,95,29.23,37.48,No,Day,OFF,OFF,ON,61.52
Meeting Hall,19,29.13,75.96,No,Day,OFF,OFF,ON,51.8
Floor,91,24.2,57.06,Yes,Day,OFF,OFF,ON,60.42
Office,64,29.97,43.78,Yes,Night,OFF,ON,OFF,37.74
Meeting Hall,26,22.52,76.59,No,Day,OFF,OFF,ON,51.26
Corridor,15,31.73,72.77,No,Day,OFF,ON,ON,41.41
Corridor,35,18.0,52.79,Yes,Day,OFF,OFF,OFF,30.57
Office,69,34.43,77.81,Yes,Night,ON,ON,OFF,55.01
Corridor,9,25.37,34.66,No,Day,ON,ON,OFF,43.44
Floor,43,23.68,76.88,No,Day,OFF,ON,ON,58.31
Corridor,18,28.62,53.02,No,Night,ON,OFF,OFF,39.06
Corridor,73,32.94,53.07,No,Day,OFF,ON,ON,55.81
Floor,89,23.99,52.67,No,Day,ON,OFF,OFF,70.14
Office,97,19.19,51.53,No,Day,ON,ON,ON,64.84
Office,64,24.02,56.87,No,Day,OFF,ON,ON,50.22
Floor,73,18.09,79.76,Yes,Day,ON,ON,ON,74.81
Floor,61,21.15,30.72,No,Day,OFF,ON,ON,64.66
Floor,32,18.88,55.0,No,Day,OFF,ON,ON,57.25
Corridor,89,24.59,44.18,No,Night,OFF,ON,OFF,43.25
Floor,97,19.02,38.57,No,Day,ON,ON,OFF,75.04
Meeting Hall,36,34.73,76.25,No,Day,ON,ON,OFF,63.39
Corridor,12,31.29,49.22,No,Day,ON,ON,ON,45.64
Office,93,25.13,57.32,Yes,Night,OFF,OFF,ON,49.88
Office,87,31.44,76.52,No,Day,ON,ON,OFF,73.41
Office,97,25.1,53.97,No,Day,ON,ON,ON,67.63
Corridor,36,29.0,44.41,No,Day,ON,ON,ON,52.43
Meeting Hall,18,31.97,34.84,No,Day,ON,ON,ON,62.23
Floor,65,29.63,59.92,No,Day,OFF,ON,OFF,64.5
Floor,29,19.44,75.58,No,Night,ON,OFF,ON,58.13
Office,85,18.74,34.04,Yes,Day,ON,OFF,ON,57.03
Office,31,27.69,52.3,Yes,Night,OFF,ON,OFF,28.42
Corridor,32,21.34,63.23,No,Day,OFF,ON,ON,43.7
Meeting Hall,39,34.73,35.04,No,Night,OFF,ON,OFF,43.18
Floor,14,18.28,33.94,No,Day,OFF,ON,ON,51.5
Corridor,69,30.72,40.22,No,Day,ON,ON,ON,68.62
Floor,99,18.72,36.57,No,Day,ON,ON,ON,88.31
Office,79,28.38,48.89,No,Day,OFF,OFF,ON,51.75
Floor,84,25.14,50.51,Yes,Night,OFF,ON,OFF,53.18
Meeting Hall,97,28.76,52.64,No,Day,ON,ON,OFF,73.66
Meeting Hall,37,30.95,54.56,No,Day,OFF,OFF,OFF,40.62
Office,98,18.56,32.91,No,Day,OFF,ON,OFF,54.94
Meeting Hall,96,26.86,63.15,Yes,Night,ON,ON,ON,61.34
Meeting Hall,7,34.02,66.69,Yes,Day,ON,OFF,ON,52.5
Corridor,75,21.7,36.86,No,Night,OFF,ON,OFF,34.7
Floor,38,19.32,41.35,No,Night,OFF,OFF,ON,52.42
Office,59,31.11,44.03,No,Night,OFF,ON,ON,51.48
Office,59,30.6,50.81,Yes,Day,OFF,ON,OFF,44.37
Office,55,24.63,50.08,No,Day,ON,OFF,OFF,51.12
Office,17,32.11,40.28,No,Day,ON,ON,ON,54.11
Office,47,27.25,33.67,No,Night,ON,ON,OFF,51.24
Meeting Hall,20,26.08,44.52,No,Night,OFF,ON,OFF,35.58
Corridor,55,31.97,68.96,Yes,Day,ON,OFF,ON,54.25
Office,90,19.67,32.92,No,Night,ON,OFF,OFF,45.9
Corridor,11,21.81,48.31,No,Day,OFF,ON,ON,41.18
Corridor,5,25.55,39.64,No,Day,ON,OFF,OFF,37.7
Meeting Hall,30,19.45,65.63,No,Day,OFF,OFF,ON,42.35
Office,97,34.93,46.57,No,Night,ON,OFF,OFF,54.2
Meeting Hall,70,23.33,49.86,Yes,Night,ON,ON,OFF,49.72
Office,60,34.11,75.86,No,Night,ON,OFF,OFF,44.72
Meeting Hall,94,26.07,60.56,No,Night,OFF,ON,OFF,53.47
Corridor,67,33.72,71.19,No,Day,ON,OFF,ON,64.84
Office,56,25.48,64.25,Yes,Night,OFF,ON,OFF,33.7
Floor,60,31.85,78.0,No,Day,ON,ON,OFF,74.13
Corridor,16,30.77,58.58,Yes,Night,ON,OFF,ON,34.94
Floor,28,34.1,42.5,Yes,Night,ON,OFF,ON,62.23
Corridor,66,28.84,64.72,No,Day,OFF,ON,ON,55.02
Meeting Hall,58,21.86,71.01,No,Day,ON,ON,OFF,61.73
Office,87,27.21,78.38,No,Day,ON,ON,OFF,64.16
Corridor,2,20.48,60.89,No,Night,OFF,ON,OFF,17.47
Meeting Hall,26,23.69,71.1,No,Day,ON,ON,ON,61.82
Office,0,31.42,65.53,No,Day,ON,ON,ON,54.41
